CURROPER,CONTROL,DEBT_MDN,PCTFLOAN,GRAD_DEBT_MDN,PCIP11,PCIP15,PCIP14,PCIP27,CIP11BACHL,CIP15BACHL,CIP14BACHL,CIP27BACHL,PCTPELL,LATITUDE,LONGITUDE,INSTNM,State
1,1,4927.0,0.2666,14144.0,0.0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049,33.381,-112.0575,South Mountain Community College,Arizona
1,2,13136.5,0.5183,22625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,33.5951,-112.0262,Arizona Christian University,Arizona
1,3,9499.0,0.473,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714,32.2218,-110.8835,Tucson College,Arizona
1,3,14094.0,0.6294,18363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4808,33.4535,-112.2897,Universal Technical Institute of Arizona Inc,Arizona
1,3,20000.0,0.3922,33718.5,0.0509,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3861,33.6007,-112.1184,Western International University,Arizona
1,3,6406.0,0.7555,9083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8056,33.5381,-112.1182,Empire Beauty School-NW Phoenix,Arizona
1,1,5513.0,0.1244,10926.0,0.0506,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.3145,34.5475,-112.4542,Yavapai College,Arizona
1,1,14250.0,0.4818,23000.0,0.0229,0.0353,0.0229,0.0092,2.0,2.0,2.0,2.0,0.4027,34.7266,-92.3418,University of Arkansas at Little Rock,Arkansas
1,1,12500.0,0.6322,12820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,34.7497,-92.3209,University of Arkansas for Medical Sciences,Arkansas
1,3,9545.0,0.9474,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605,34.1223,-93.0816,ABC Beauty College Inc,Arkansas
1,2,9500.0,0.817,38125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107,34.7348,-92.2906,Arkansas Baptist College,Arkansas
1,3,6333.0,1.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.6691,-92.3348,Arkansas Beauty School,Arkansas
1,3,6333.0,1.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.6691,-92.3348,Arkansas Beauty School,Arkansas
1,3,5500.0,0.9231,6333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231,35.2786,-93.1352,Arkansas Beauty College,Arkansas
1,2,12000.0,0.6867,25000.0,0.0083,0.0,0.0,0.0833,1.0,0.0,0.0,1.0,0.4617,35.7789,-91.6281,Lyon College,Arkansas
1,3,9812.0,0.6798,12619.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,34.7536,-92.2663,Arkansas College of Barbering and Hair Design,Arkansas
1,3,9812.0,0.6798,12619.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629,34.7536,-92.2663,Arkansas College of Barbering and Hair Design,Arkansas
1,3,6800.0,0.6056,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7746,35.38,-94.411,Arthur's Beauty College Inc-Fort Smith,Arkansas
1,1,14990.0,0.4084,21524.0,0.0057,0.0,0.0929,0.0069,2.0,2.0,2.0,2.0,0.2427,36.0615,-94.1782,University of Arkansas,Arkansas
1,1,13698.5,0.7276,27954.5,0.0279,0.066,0.0,0.0051,1.0,1.0,0.0,1.0,0.6986,34.2422,-92.0213,University of Arkansas at Pine Bluff,Arkansas
1,1,5250.0,0.1337,6750.0,0.0,0.0612,0.0,0.0,0.0,0.0,0.0,0.0,0.3155,35.0745,-91.8962,Arkansas State University-Beebe,Arkansas
1,1,13300.0,0.5289,20959.0,0.0147,0.0112,0.0348,0.004,2.0,2.0,2.0,2.0,0.4618,35.8428,-90.6805,Arkansas State University-Main Campus,Arkansas
1,1,10043.0,0.4734,17528.0,0.0191,0.0191,0.026,0.0026,2.0,2.0,2.0,2.0,0.4559,35.2952,-93.1323,Arkansas Tech University,Arkansas
1,1,8250.0,0.5956,15418.5,0.0,0.0826,0.0,0.0026,1.0,1.0,0.0,1.0,0.6473,33.5898,-91.813,University of Arkansas at Monticello,Arkansas
